,SIBN,ROSN,PHOR,SBER,PLZL,RU000A104172,RU000A104KU3,MDMG,USDRUB,BRENT,NUTRIEN,IMOEX,RTSI
SIBN,1.0000,0.6970,0.4326,0.5715,0.2910,0.1038,0.0743,0.2158,0.0632,0.2101,0.1361,0.4832,0.3661
ROSN,0.6970,1.0000,0.4374,0.5959,0.2708,0.0952,0.0460,0.2301,0.0305,0.2945,0.1476,0.5667,0.4242
PHOR,0.4326,0.4374,1.0000,0.4066,0.2693,0.0406,0.0548,0.2223,0.0883,0.1335,0.1339,0.4002,0.2575
SBER,0.5715,0.5959,0.4066,1.0000,0.3011,0.1297,0.0512,0.3101,0.0301,0.0986,0.0991,0.6524,0.5372
PLZL,0.2910,0.2708,0.2693,0.3011,1.0000,0.0497,0.1216,0.2475,-0.0481,-0.0439,0.1753,0.3560,0.2648
RU000A104172,0.1038,0.0952,0.0406,0.1297,0.0497,1.0000,0.1062,-0.0123,0.0044,0.0379,0.0503,0.1568,0.0885
RU000A104KU3,0.0743,0.0460,0.0548,0.0512,0.1216,0.1062,1.0000,0.0678,-0.0729,0.0152,0.0391,0.1567,0.1443
MDMG,0.2158,0.2301,0.2223,0.3101,0.2475,-0.0123,0.0678,1.0000,0.0794,-0.0353,0.1216,0.3794,0.2885
USDRUB,0.0632,0.0305,0.0883,0.0301,-0.0481,0.0044,-0.0729,0.0794,1.0000,0.1201,0.0265,-0.0168,-0.4295
BRENT,0.2101,0.2945,0.1335,0.0986,-0.0439,0.0379,0.0152,-0.0353,0.1201,1.0000,0.3683,0.1173,0.0257
NUTRIEN,0.1361,0.1476,0.1339,0.0991,0.1753,0.0503,0.0391,0.1216,0.0265,0.3683,1.0000,0.1913,0.1288
IMOEX,0.4832,0.5667,0.4002,0.6524,0.3560,0.1568,0.1567,0.3794,-0.0168,0.1173,0.1913,1.0000,0.8403
RTSI,0.3661,0.4242,0.2575,0.5372,0.2648,0.0885,0.1443,0.2885,-0.4295,0.0257,0.1288,0.8403,1.0000
