asset_a,asset_b,correlation,p_value,weight_a_pct,weight_b_pct
RTSI,IMOEX,0.840304,0.000000,0.000000,0.000000
ROSN,SIBN,0.696957,0.000000,21.643169,29.013480
IMOEX,SBER,0.652402,0.000000,0.000000,9.987829
SBER,ROSN,0.595934,0.000000,9.987829,21.643169
SBER,SIBN,0.571452,0.000000,9.987829,29.013480
IMOEX,ROSN,0.566652,0.000000,0.000000,21.643169
RTSI,SBER,0.537160,0.000000,0.000000,9.987829
IMOEX,SIBN,0.483202,0.000000,0.000000,29.013480
PHOR,ROSN,0.437363,0.000000,17.442344,21.643169
PHOR,SIBN,0.432619,0.000000,17.442344,29.013480
RTSI,ROSN,0.424184,0.000000,0.000000,21.643169
SBER,PHOR,0.406586,0.000000,9.987829,17.442344
IMOEX,PHOR,0.400197,0.000000,0.000000,17.442344
IMOEX,MDMG,0.379417,0.000000,0.000000,0.935651
NUTRIEN,BRENT,0.368291,0.000000,0.000000,0.000000
RTSI,SIBN,0.366100,0.000000,0.000000,29.013480
IMOEX,PLZL,0.356037,0.000000,0.000000,9.243627
MDMG,SBER,0.310131,0.000000,0.935651,9.987829
PLZL,SBER,0.301098,0.000000,9.243627,9.987829
BRENT,ROSN,0.294465,0.000000,0.000000,21.643169
PLZL,SIBN,0.291032,0.000000,9.243627,29.013480
RTSI,MDMG,0.288539,0.000000,0.000000,0.935651
PLZL,ROSN,0.270850,0.000000,9.243627,21.643169
PLZL,PHOR,0.269254,0.000000,9.243627,17.442344
RTSI,PLZL,0.264843,0.000000,0.000000,9.243627
RTSI,PHOR,0.257533,0.000000,0.000000,17.442344
MDMG,PLZL,0.247484,0.000000,0.935651,9.243627
MDMG,ROSN,0.230077,0.000001,0.935651,21.643169
MDMG,PHOR,0.222294,0.000002,0.935651,17.442344
MDMG,SIBN,0.215797,0.000004,0.935651,29.013480
BRENT,SIBN,0.210116,0.000007,0.000000,29.013480
IMOEX,NUTRIEN,0.191328,0.000044,0.000000,0.000000
NUTRIEN,PLZL,0.175277,0.000186,0.000000,9.243627
IMOEX,RU000A104172,0.156786,0.000846,0.000000,9.148634
IMOEX,RU000A104KU3,0.156664,0.000854,0.000000,2.585266
NUTRIEN,ROSN,0.147633,0.001688,0.000000,21.643169
RTSI,RU000A104KU3,0.144258,0.002157,0.000000,2.585266
NUTRIEN,SIBN,0.136069,0.003829,0.000000,29.013480
NUTRIEN,PHOR,0.133948,0.004422,0.000000,17.442344
BRENT,PHOR,0.133480,0.004563,0.000000,17.442344
RU000A104172,SBER,0.129659,0.005879,9.148634,9.987829
RTSI,NUTRIEN,0.128793,0.006221,0.000000,0.000000
NUTRIEN,MDMG,0.121646,0.009797,0.000000,0.935651
RU000A104KU3,PLZL,0.121552,0.009854,2.585266,9.243627
BRENT,USDRUB,0.120079,0.010790,0.000000,0.000000
IMOEX,BRENT,0.117304,0.012772,0.000000,0.000000
RU000A104KU3,RU000A104172,0.106220,0.024236,2.585266,9.148634
RU000A104172,SIBN,0.103793,0.027694,9.148634,29.013480
NUTRIEN,SBER,0.099127,0.035541,0.000000,9.987829
BRENT,SBER,0.098569,0.036595,0.000000,9.987829
RU000A104172,ROSN,0.095233,0.043471,9.148634,21.643169
RTSI,RU000A104172,0.088471,0.060762,0.000000,9.148634
USDRUB,PHOR,0.088345,0.061132,0.000000,17.442344
USDRUB,MDMG,0.079443,0.092333,0.000000,0.935651
RU000A104KU3,SIBN,0.074319,0.115410,2.585266,29.013480
MDMG,RU000A104KU3,0.067784,0.151124,0.935651,2.585266
USDRUB,SIBN,0.063165,0.181049,0.000000,29.013480
RU000A104KU3,PHOR,0.054825,0.245784,2.585266,17.442344
RU000A104KU3,SBER,0.051178,0.278654,2.585266,9.987829
NUTRIEN,RU000A104172,0.050329,0.286715,0.000000,9.148634
RU000A104172,PLZL,0.049712,0.292674,9.148634,9.243627
RU000A104KU3,ROSN,0.045966,0.330607,2.585266,21.643169
RU000A104172,PHOR,0.040563,0.390654,9.148634,17.442344
NUTRIEN,RU000A104KU3,0.039115,0.407799,0.000000,2.585266
BRENT,RU000A104172,0.037893,0.422623,0.000000,9.148634
USDRUB,ROSN,0.030549,0.518021,0.000000,21.643169
USDRUB,SBER,0.030102,0.524166,0.000000,9.987829
NUTRIEN,USDRUB,0.026527,0.574626,0.000000,0.000000
RTSI,BRENT,0.025727,0.586219,0.000000,0.000000
BRENT,RU000A104KU3,0.015201,0.747762,0.000000,2.585266
USDRUB,RU000A104172,0.004444,0.925101,0.000000,9.148634
MDMG,RU000A104172,-0.012327,0.794272,0.935651,9.148634
IMOEX,USDRUB,-0.016838,0.721679,0.000000,0.000000
BRENT,MDMG,-0.035295,0.455143,0.000000,0.935651
BRENT,PLZL,-0.043909,0.352734,0.000000,9.243627
USDRUB,PLZL,-0.048072,0.308910,0.000000,9.243627
USDRUB,RU000A104KU3,-0.072862,0.122737,0.000000,2.585266
RTSI,USDRUB,-0.429509,0.000000,0.000000,0.000000
